SHA,ETAG,Author,Username,Additions,Deletions,Total,Date
d8f87ffbd4bc0b27131f81186f38e056555574f3,"W/""4bc2d70b35181b330773dd86b7b5e4de7f40de1252fdcce930b0e58d0ed5150c""",Oleg Grenrus,phadej,69.0,49.0,118.0,"Thu, 30 May 2019 14:41:19 GMT"
d29358293c185d5a7fc3e51ab0ab9b03eda75612,"W/""da9a69bcca1949f517c8f24c0f400309fb41fda9e49184113cbc8892f2e95523""",Oleg Grenrus,phadej,51.0,48.0,99.0,"Thu, 30 May 2019 12:35:09 GMT"
2f06754722577fe3498738d8fda6b6987dc364c6,"W/""b3bb71ba692d3072c1d3d097a39b6e5fe88ef867322e9f381fe1e5438b562387""",Oleg Grenrus,phadej,18.0,1.0,19.0,"Thu, 30 May 2019 12:02:32 GMT"
02c9f72952d52d9c4b8bc0111ffdb740a125ba2d,"W/""bb0334efd0f4283115b41d4f2ddf3e84de2b5eaa3047e0d703435aafb633840e""",Oleg Grenrus,phadej,24.0,14.0,38.0,"Thu, 30 May 2019 12:01:01 GMT"
ca8e48c3bfb34bbaff5d8042bf36919d977a81cd,"W/""c5b8e86c4c37a8d70c2c12d7dffbe457d3edb4e553bc814587b69ef7acdaa874""",Oleg Grenrus,phadej,13.0,6.0,19.0,"Thu, 30 May 2019 11:04:28 GMT"
3be11c12496f5b6a5941e8308ffd7bbcfa16de82,"W/""872e29952b4380b70494e7ca8798192610bf34fc3a0b85eb82789d9340cbfddd""",Oleg Grenrus,phadej,11.0,8.0,19.0,"Thu, 23 May 2019 18:44:42 GMT"
20f9f39cd7f620bdd01909d6e394a3aac4c5aaad,"W/""f38e617eb10752e68d9719ba73d76ed39782466225f1a364ceb555e5de4112f5""",Oleg Grenrus,phadej,1.0,0.0,1.0,"Thu, 23 May 2019 14:33:08 GMT"
059dd5aa1eb7c14ed2eb2d289aac4e4b5665f2a6,"W/""4689fd0a44aaf074fd70c948b207ffebe9e89c9243a92aff01c4cccef1dcbd7b""",Oleg Grenrus,phadej,103.0,25.0,128.0,"Thu, 23 May 2019 14:29:35 GMT"
7246a13c99b9bd7a94b59835d188e5869ff920c6,"W/""d78a011cb587b1de08854179213d6e68e356edf1155e73600c4766ce5461ac0d""",Oleg Grenrus,phadej,1.0,1.0,2.0,"Thu, 23 May 2019 14:28:58 GMT"
c969f0a4c933fd83e7c18923d5bcd1fbe2615aa6,"W/""3bb1daa585b82cfa65f06927e9e4a3770a9581458ce3b29cd973554231bfe96b""",Oleg Grenrus,phadej,52.0,35.0,87.0,"Thu, 23 May 2019 14:28:27 GMT"
